question,question-image,solution-image,options,correct-answer,type ,topic
"Considering the reaction sequence given below, the correct statement(s) is(are)",https://res.cloudinary.com/ddo5r1evg/image/upload/v1770040631/uploaded_images/18198768.png,https://res.cloudinary.com/ddo5r1evg/image/upload/v1770043662/uploaded_images/82771394.png,"['(A) P can be reduced to a primary alcohol using NaBH₄.', '(B) Treating P with conc. NH₄OH solution followed by acidification gives Q.', '(C) Treating Q with a solution of NaNO₂ in aq. HCl liberates N₂.', '(D) P is more acidic than CH₃CH₂COOH.']","[B,C,D]",multiple,ACID DERIVATIVE
"In the following reaction sequence, the correct structure(s) of X is (are)",https://res.cloudinary.com/ddo5r1evg/image/upload/v1770043835/uploaded_images/75669168.png,https://res.cloudinary.com/ddo5r1evg/image/upload/v1770044221/uploaded_images/74269060.png,https://res.cloudinary.com/ddo5r1evg/image/upload/v1770043876/uploaded_images/27732927.png,[B],single,ALCOHOL-PHENOL-ETHER
The correct statements(s) about of the following reaction sequence is(are),https://res.cloudinary.com/ddo5r1evg/image/upload/v1770044033/uploaded_images/97924528.png,https://res.cloudinary.com/ddo5r1evg/image/upload/v1770044305/uploaded_images/25426606.png,"['(A) R is steam volatile', '(B) Q gives dark violet coloration with 1% aqueous FeCl₃ solution', '(C) S gives yellow precipitate with 2, 4,-dinitrophenylhydrazine', '(D) S gives dark violet coloration with 1% aqueous FeCl₃ solution']","[B,C]",multiple,ALCOHOL-PHENOL-ETHER
The number of hydroxyl group(s) in Q is,https://res.cloudinary.com/ddo5r1evg/image/upload/v1770044089/uploaded_images/54920161.png,https://res.cloudinary.com/ddo5r1evg/image/upload/v1770044444/uploaded_images/60276367.png,,[4],integer,ALCOHOL-PHENOL-ETHER
The acidic hydrolysis of ether (X) shown below is fastest when,https://res.cloudinary.com/ddo5r1evg/image/upload/v1770044152/uploaded_images/50052501.png,https://res.cloudinary.com/ddo5r1evg/image/upload/v1770044481/uploaded_images/56937416.png,"['(A) one phenyl group is replaced by a methyl group', '(B) one phenyl group is replaced by a para-methoxyphenyl group', '(C) two phenyl groups are replaced by two para-methoxyphenyl group', '(D) no structural change is made to X']",[C],single,ALCOHOL-PHENOL-ETHER
"In the following reactions, P, Q, R, and S are the major products.",https://res.cloudinary.com/ddo5r1evg/image/upload/v1770044544/uploaded_images/96014028.png,https://res.cloudinary.com/ddo5r1evg/image/upload/v1770047501/uploaded_images/75604814.png,"['(A) P is a primary alcohol with four carbons.', '(B) Q undergoes Kolbe’s electrolysis to give an eight-carbon product.', '(C) R has six carbons and it undergoes Cannizzaro reaction.', '(D) S is a primary amine with six carbons.']",[B],single,AMINE-DERIVATIVE
"Consider the following reaction sequence,the correct option(s) is(are)",https://res.cloudinary.com/ddo5r1evg/image/upload/v1770044620/uploaded_images/65780272.png,https://res.cloudinary.com/ddo5r1evg/image/upload/v1770047524/uploaded_images/34171226.png,https://res.cloudinary.com/ddo5r1evg/image/upload/v1770044644/uploaded_images/83542669.png,"[A,B,C]",multiple,AMINE-DERIVATIVE
The reaction of Q with PhSNa yields an organic compound (major product) that gives positive Carius test on treatment with Na₂O₂ followed by addition of BaCl₂. The correct option(s) for Q is (are).,,https://res.cloudinary.com/ddo5r1evg/image/upload/v1770047557/uploaded_images/78157507.png,https://res.cloudinary.com/ddo5r1evg/image/upload/v1770044822/uploaded_images/85582091.png,"[A,D]",multiple,AMINE-DERIVATIVE
"Scheme 1 and 2 describe the conversion of P to Q and R to S, respectively. Scheme 3 describes the synthesis of T from Q and S. The total number of Br atoms in a molecule of T is ________.",https://res.cloudinary.com/ddo5r1evg/image/upload/v1770044912/uploaded_images/31442358.png,"[https://res.cloudinary.com/ddo5r1evg/image/upload/v1770047584/uploaded_images/74227230.png,https://res.cloudinary.com/ddo5r1evg/image/upload/v1770047611/uploaded_images/67178421.png]",,[4],integer,AMINE-DERIVATIVE
"Aniline reacts with mixed acid (conc. HNO₃ and conc. H₂SO₄) at 288 K to give P (51%), Q (47%) and R (2%). The major product(s) the following reaction sequence is (are) :-",https://res.cloudinary.com/ddo5r1evg/image/upload/v1770045005/uploaded_images/84040756.png,https://res.cloudinary.com/ddo5r1evg/image/upload/v1770047632/uploaded_images/81047910.png,https://res.cloudinary.com/ddo5r1evg/image/upload/v1770045029/uploaded_images/78649637.png,[D],single,AMINE-DERIVATIVE
The major product of the following reaction is,https://res.cloudinary.com/ddo5r1evg/image/upload/v1770045122/uploaded_images/99223359.png,https://res.cloudinary.com/ddo5r1evg/image/upload/v1770047657/uploaded_images/61672214.png,https://res.cloudinary.com/ddo5r1evg/image/upload/v1770045141/uploaded_images/65716292.png,[C],single,AMINE-DERIVATIVE
The product(s) of the following reaction sequence is(are),https://res.cloudinary.com/ddo5r1evg/image/upload/v1770047172/uploaded_images/37763577.png,https://res.cloudinary.com/ddo5r1evg/image/upload/v1770047678/uploaded_images/21673405.png,https://res.cloudinary.com/ddo5r1evg/image/upload/v1770047191/uploaded_images/35275666.png,[B],single,AMINE-DERIVATIVE
The major product of the reaction is :,https://res.cloudinary.com/ddo5r1evg/image/upload/v1770047225/uploaded_images/35092201.png,"[https://res.cloudinary.com/ddo5r1evg/image/upload/v1770047701/uploaded_images/92947730.png,https://res.cloudinary.com/ddo5r1evg/image/upload/v1770047730/uploaded_images/86535412.png]",https://res.cloudinary.com/ddo5r1evg/image/upload/v1770047245/uploaded_images/33589754.png,[C],single,AMINE-DERIVATIVE
"In the following reactions, the major product W is :",https://res.cloudinary.com/ddo5r1evg/image/upload/v1770047276/uploaded_images/70951711.png,https://res.cloudinary.com/ddo5r1evg/image/upload/v1770047755/uploaded_images/10110522.png,https://res.cloudinary.com/ddo5r1evg/image/upload/v1770047298/uploaded_images/52198343.png,[A],single,AMINE-DERIVATIVE
"In the reaction shown below, the major product(s) formed is / are :",https://res.cloudinary.com/ddo5r1evg/image/upload/v1770047327/uploaded_images/38922393.png,https://res.cloudinary.com/ddo5r1evg/image/upload/v1770047776/uploaded_images/44013679.png,https://res.cloudinary.com/ddo5r1evg/image/upload/v1770047353/uploaded_images/35551277.png,[A],single,AMINE-DERIVATIVE